Grupo de edad;Comunidad autonoma;Sexo;Nivel de formacion;periodo;Total
25 - 64 años;Castilla-La Mancha;Mujeres;2ª etapa E. Secundaria;2019;21,53
25 - 64 años;Castilla-La Mancha;Mujeres;2ª etapa E. Secundaria;2018;21,41
25 - 64 años;Castilla-La Mancha;Mujeres;E. Superior;2023;35,73
25 - 64 años;Castilla-La Mancha;Mujeres;E. Superior;2022;34,59
25 - 64 años;Castilla-La Mancha;Mujeres;E. Superior;2021;35,36
25 - 64 años;Castilla-La Mancha;Mujeres;E. Superior;2020;34,54
25 - 64 años;Castilla-La Mancha;Mujeres;E. Superior;2019;32,88
25 - 64 años;Castilla-La Mancha;Mujeres;E. Superior;2018;31,34
25 - 64 años;Cataluña;Hombres;Inferior a 2ª etapa de E. Secundaria;2023;36,42
25 - 64 años;Cataluña;Hombres;Inferior a 2ª etapa de E. Secundaria;2022;37,35
25 - 64 años;Cataluña;Hombres;Inferior a 2ª etapa de E. Secundaria;2021;38,59
25 - 64 años;Cataluña;Hombres;Inferior a 2ª etapa de E. Secundaria;2020;38,42
25 - 64 años;Cataluña;Hombres;Inferior a 2ª etapa de E. Secundaria;2019;39,63
